Credit Score,Collateral Value
0.155126842,1959.962194
0.404764758,1959.962194
0.003171054,5119.031925
9.06833E-07,40.06492333
4.47223E-05,0.011457456
0.685308265,0.565047133
0.037536727,8658.580758
0.11405405,474.2607114
0.028911816,1441.024792
3.17635E-06,365.2885897
0.00097038,0.040131901
0.421291198,12.26033575
1,5322.836516
0.038906523,21335.60059
0.162374461,491.5674964
1,2051.532796
0.7,13650.92671
0.028067486,13.33061442
0.131762119,354.6208401
0.001176471,1664.758771
